OID_,CID,temp09,temp19,temp09c
467,1,176,19.7000008,17.6000004
468,1,176,23.6700001,17.6000004
469,1,179,16.0900002,17.8999996
470,1,177,17.7600002,17.7000008
471,1,181,17.0400009,18.1000004
472,1,178,20.3999996,17.7999992
473,1,176,17.9899998,17.6000004
474,1,179,18.8500004,17.8999996
475,1,177,18.1499996,17.7000008
476,1,179,20.8600006,17.8999996
477,1,176,25.5400009,17.6000004
478,1,178,17.8099995,17.7999992
479,1,179,17.9300003,17.8999996
480,1,180,25.8400002,18.0000000
481,1,178,20.7199993,17.7999992
482,1,177,17.7700005,17.7000008
483,1,175,19.0900002,17.5000000
484,1,178,20.0000000,17.7999992
485,1,182,16.3400002,18.2000008
486,1,177,17.0000000,17.7000008
487,1,179,17.8700008,17.8999996
488,1,178,16.6800003,17.7999992
489,1,176,27.5599995,17.6000004
490,1,176,16.3099995,17.6000004
491,1,178,16.1900005,17.7999992
492,1,177,22.1399994,17.7000008
493,1,177,15.9099998,17.7000008
494,1,177,19.7999992,17.7000008
495,1,174,16.2099991,17.3999996
496,1,176,26.8099995,17.6000004
497,1,178,26.1800003,17.7999992
498,1,201,23.9099998,20.1000004
499,1,188,17.0499992,18.7999992
500,1,177,23.3400002,17.7000008
501,1,177,21.1100006,17.7000008
502,1,177,21.4500008,17.7000008
503,1,179,25.4300003,17.8999996
504,1,178,23.2299995,17.7999992
505,1,181,18.3700008,18.1000004
506,1,177,15.6300001,17.7000008
507,1,176,17.5699997,17.6000004
508,1,176,16.3299999,17.6000004
509,1,181,21.6200008,18.1000004
510,1,177,21.3799992,17.7000008
511,1,178,21.2399998,17.7999992
512,1,179,26.5900002,17.8999996
513,1,179,17.8400002,17.8999996
514,1,176,18.4400005,17.6000004
515,1,178,16.5400009,17.7999992
516,1,176,16.3899994,17.6000004
517,1,178,28.3799992,17.7999992
518,1,178,15.8900003,17.7999992
519,1,179,19.1900005,17.8999996
520,1,177,16.9699993,17.7000008
521,1,177,21.5699997,17.7000008
522,1,176,16.8199997,17.6000004
523,1,179,16.8799992,17.8999996
524,1,176,17.4099998,17.6000004
525,1,174,16.5200005,17.3999996
526,1,175,23.8999996,17.5000000
527,1,177,17.6499996,17.7000008
528,1,184,19.9099998,18.3999996
529,1,177,16.7299995,17.7000008
530,1,176,16.8099995,17.6000004
531,1,175,16.7099991,17.5000000
532,1,180,16.5799999,18.0000000
533,1,176,16.8600006,17.6000004
534,1,175,16.7500000,17.5000000
535,1,175,17.3700008,17.5000000
536,1,176,16.9400005,17.6000004
537,1,176,20.1399994,17.6000004
538,1,176,17.2000008,17.6000004
539,1,181,18.1399994,18.1000004
540,1,175,16.6900005,17.5000000
541,1,177,19.9500008,17.7000008
542,1,175,22.6200008,17.5000000
543,1,178,17.1399994,17.7999992
544,1,175,17.8299999,17.5000000
545,1,177,16.7500000,17.7000008
546,1,176,19.4300003,17.6000004
547,1,176,17.5300007,17.6000004
548,1,184,17.0900002,18.3999996
549,1,177,16.8099995,17.7000008
550,1,178,20.3600006,17.7999992
551,1,177,25.2299995,17.7000008
552,1,174,16.8299999,17.3999996
553,1,176,16.7399998,17.6000004
554,1,185,18.2900009,18.5000000
555,1,176,16.6599998,17.6000004
556,1,178,19.3299999,17.7999992
557,1,177,17.2399998,17.7000008
558,1,182,28.1200008,18.2000008
559,1,174,20.5300007,17.3999996
560,1,176,20.3299999,17.6000004
561,1,176,17.4400005,17.6000004
562,1,176,17.5599995,17.6000004
563,1,175,17.5000000,17.5000000
564,1,177,17.5499992,17.7000008
565,1,194,17.6499996,19.3999996
566,1,177,18.1399994,17.7000008
567,1,175,16.7600002,17.5000000
568,1,174,16.9300003,17.3999996
569,1,176,19.5499992,17.6000004
570,1,174,16.9400005,17.3999996
571,1,177,17.2500000,17.7000008
