point_id,year,dist_m,C_2009,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
169,2019,654,18.6725922,1,0,14.15,826,0.325,28.9
170,2019,656,18.7463741,1,0,14.15,826,0.325,28.9
171,2019,658,18.7463741,1,0,14.15,826,0.325,28.9
172,2019,660,18.7463741,1,0,14.15,826,0.325,28.9
173,2019,662,18.7740421,1,0,14.15,826,0.325,28.9
174,2019,664,18.7555962,1,0,14.15,826,0.325,28.9
175,2019,672,18.6910381,1,0,14.15,826,0.325,28.9
176,2019,674,18.8109322,1,0,14.15,826,0.325,28.9
177,2019,676,19.0322781,1,0,14.15,826,0.325,28.9
178,2019,678,19.0230541,1,0,14.15,826,0.325,28.9
179,2019,680,19.8438797,1,0,14.15,826,0.325,28.9
1,2021,,19.0876141,1,1,15.3,390,0.062,27.2
2,2021,,19.1152821,1,1,15.3,390,0.062,27.2
3,2021,,19.0046101,1,1,15.3,390,0.062,27.2
4,2021,,19.078392,1,1,15.3,390,0.062,27.2
5,2021,,19.225956,1,1,15.3,390,0.062,27.2
6,2021,,19.2905159,1,1,15.3,390,0.062,27.2
7,2021,,19.4011879,1,1,15.3,390,0.062,27.2
8,2021,,19.3827438,1,1,15.3,390,0.062,27.2
9,2021,,19.4196339,1,1,15.3,390,0.062,27.2
10,2021,,19.4473019,1,1,15.3,390,0.062,27.2
11,2021,,19.4288559,1,1,15.3,390,0.062,27.2
12,2021,,19.3274059,1,1,15.3,390,0.062,27.2
13,2021,,19.4380798,1,1,15.3,390,0.062,27.2
14,2021,,19.6870937,1,1,15.3,390,0.062,27.2
15,2021,,20.0744495,1,1,15.3,390,0.062,27.2
16,2021,,20.0928936,1,1,15.3,390,0.062,27.2
17,2021,,19.4011879,1,1,15.3,390,0.062,27.2
18,2021,,19.2444,1,1,15.3,390,0.062,27.2
19,2021,,19.5948658,1,1,15.3,390,0.062,27.2
20,2021,,20.1113396,1,1,15.3,390,0.062,27.2
21,2021,,19.5856438,1,1,15.3,390,0.062,27.2
22,2021,,19.6686478,1,1,15.3,390,0.062,27.2
23,2021,,20.2035675,1,1,15.3,390,0.062,27.2
24,2021,,19.8346577,1,1,15.3,390,0.062,27.2
25,2021,,19.9084396,1,1,15.3,390,0.062,27.2
26,2021,,19.6502018,1,1,15.3,390,0.062,27.2
27,2021,,20.5079174,1,1,15.3,390,0.062,27.2
28,2021,,19.133728,1,1,15.3,390,0.062,27.2
29,2021,,19.5948658,1,1,15.3,390,0.062,27.2
30,2021,,19.9361057,1,1,15.3,390,0.062,27.2
31,2021,,21.0981731,1,1,15.3,390,0.062,27.2
32,2021,,21.5869789,1,1,15.3,390,0.062,27.2
33,2021,,21.5869789,1,1,15.3,390,0.062,27.2
34,2021,,21.0981731,1,1,15.3,390,0.062,27.2
35,2021,,20.5540314,1,1,15.3,390,0.062,27.2
36,2021,,20.2496796,1,1,15.3,390,0.062,27.2
37,2021,,19.9637756,1,1,15.3,390,0.062,27.2
38,2021,,19.1613979,1,1,15.3,390,0.062,27.2
39,2021,,18.8201561,1,1,15.3,390,0.062,27.2
40,2021,,19.0876141,1,1,15.3,390,0.062,27.2
41,2021,,19.133728,1,1,15.3,390,0.062,27.2
42,2021,,19.3827438,1,1,15.3,390,0.062,27.2
43,2021,,19.124506,1,1,15.3,390,0.062,27.2
44,2021,,19.124506,1,1,15.3,390,0.062,27.2
45,2021,,19.1152821,1,1,15.3,390,0.062,27.2
46,2021,,19.10606,1,1,15.3,390,0.062,27.2
47,2021,,19.142952,1,1,15.3,390,0.062,27.2
48,2021,,19.1706181,1,1,15.3,390,0.062,27.2
49,2021,,19.318182,1,1,15.3,390,0.062,27.2
50,2021,,19.4011879,1,1,15.3,390,0.062,27.2
51,2021,,19.0599461,1,1,15.3,390,0.062,27.2
52,2021,,19.2167339,1,1,15.3,390,0.062,27.2
53,2021,,19.06917,1,1,15.3,390,0.062,27.2
54,2021,,19.10606,1,1,15.3,390,0.062,27.2
55,2021,,19.2167339,1,1,15.3,390,0.062,27.2
56,2021,,18.8109322,1,1,15.3,390,0.062,27.2
57,2021,,18.9492741,1,1,15.3,390,0.062,27.2
58,2021,,18.9308281,1,1,15.3,390,0.062,27.2
59,2021,,19.050724,1,1,15.3,390,0.062,27.2
60,2021,,18.8939381,1,1,15.3,390,0.062,27.2
61,2021,,19.06917,1,1,15.3,390,0.062,27.2
62,2021,,18.912384,1,1,15.3,390,0.062,27.2
63,2021,,18.8570461,1,1,15.3,390,0.062,27.2
64,2021,,18.9216061,1,1,15.3,390,0.062,27.2
65,2021,,18.9400501,1,1,15.3,390,0.062,27.2
66,2021,,18.7187042,1,1,15.3,390,0.062,27.2
67,2021,,18.7371502,1,1,15.3,390,0.062,27.2
68,2021,,18.6633682,1,1,15.3,390,0.062,27.2
69,2021,,18.6633682,1,1,15.3,390,0.062,27.2
70,2021,,18.7002602,1,1,15.3,390,0.062,27.2
71,2021,,18.4604683,1,1,15.3,390,0.062,27.2
72,2021,,18.6264763,1,1,15.3,390,0.062,27.2
73,2021,,18.6910381,1,1,15.3,390,0.062,27.2
74,2021,,18.6725922,1,1,15.3,390,0.062,27.2
75,2021,,18.7002602,1,1,15.3,390,0.062,27.2
76,2021,,18.5803642,1,1,15.3,390,0.062,27.2
77,2021,,18.6541462,1,1,15.3,390,0.062,27.2
78,2021,,18.9308281,1,1,15.3,390,0.062,27.2
79,2021,,19.189064,1,1,15.3,390,0.062,27.2
80,2021,,19.4011879,1,1,15.3,390,0.062,27.2
81,2021,,19.3919659,1,1,15.3,390,0.062,27.2
82,2021,,19.2997379,1,1,15.3,390,0.062,27.2
83,2021,,19.2444,1,1,15.3,390,0.062,27.2
84,2021,,19.20751,1,1,15.3,390,0.062,27.2
85,2021,,19.281292,1,1,15.3,390,0.062,27.2
86,2021,,20.5355873,1,1,15.3,390,0.062,27.2
87,2021,,20.2404575,1,1,15.3,390,0.062,27.2
88,2021,,19.4011879,1,1,15.3,390,0.062,27.2
