OID_,CID,temp2019,temp2021,temp2019_1,temp2021_1
295,1,32.3800011,19.0499992,32.3800011,19.0499992
296,1,18.4599991,21.0100002,18.4599991,21.0100002
297,1,18.2999992,23.4300003,18.2999992,23.4300003
298,1,19.2600002,19.6900005,19.2600002,19.6900005
299,1,17.5000000,21.8299999,17.5000000,21.8299999
300,1,21.2800007,18.8700008,21.2800007,18.8700008
301,1,20.7700005,20.2099991,20.7700005,20.2099991
302,1,20.6499996,19.0100002,20.6499996,19.0100002
303,1,26.8799992,26.2900009,26.8799992,26.2900009
304,1,19.2800007,20.4799995,19.2800007,20.4799995
305,1,20.2299995,21.8400002,20.2299995,21.8400002
306,1,17.1399994,18.6499996,17.1399994,18.6499996
307,1,27.4599991,19.3099995,27.4599991,19.3099995
308,1,24.0900002,19.3099995,24.0900002,19.3099995
309,1,19.4099998,22.4899998,19.4099998,22.4899998
310,1,19.7800007,20.8600006,19.7800007,20.8600006
311,1,24.2600002,19.2099991,24.2600002,19.2099991
312,1,19.0200005,19.9799995,19.0200005,19.9799995
313,1,23.3600006,21.3299999,23.3600006,21.3299999
314,1,17.3999996,18.8199997,17.3999996,18.8199997
315,1,29.5400009,20.8899994,29.5400009,20.8899994
316,1,31.1800003,19.1499996,31.1800003,19.1499996
317,1,24.6800003,24.3400002,24.6800003,24.3400002
318,1,18.2900009,18.7600002,18.2900009,18.7600002
319,1,20.2199993,18.3199997,20.2199993,18.3199997
320,1,17.9099998,21.0599995,17.9099998,21.0599995
321,1,17.3299999,18.7900009,17.3299999,18.7900009
322,1,32.2599983,18.6700001,32.2599983,18.6700001
323,1,20.9699993,21.6299992,20.9699993,21.6299992
324,1,23.6700001,26.0200005,23.6700001,26.0200005
325,1,19.8500004,19.3400002,19.8500004,19.3400002
326,1,33.3400002,18.9699993,33.3400002,18.9699993
