OID_,dist_m,POINT_X,POINT_Y,tir_cs,dist_up,tir_cor_adj_filt,year,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
7,162,557313.409099999815226,4889645.517200000584126,-0.8154272,934,18.0269985,2019,1,0,14.15,826,0.311,28.9
8,164,557311.411399999633431,4889645.419800000265241,-0.9395892,932,17.8609886,2019,1,0,14.15,826,0.311,28.9
9,166,557309.414900000207126,4889645.375299999490380,-0.8125413,930,18.0177746,2019,1,0,14.15,826,0.311,28.9
10,170,557305.430700000375509,4889645.731100000441074,-0.9856749,926,17.8056526,2019,1,0,14.15,826,0.311,28.9
11,172,557303.435700000263751,4889645.871300000697374,-0.8369747,924,17.9993305,2019,1,0,14.15,826,0.311,28.9
12,174,557301.440299999900162,4889646.006500000134110,-0.7920433,922,18.0546665,2019,1,0,14.15,826,0.311,28.9
13,176,557299.457299999892712,4889646.242499999701977,-0.6849455,920,18.1837845,2019,1,0,14.15,826,0.311,28.9
14,178,557297.489199999719858,4889646.598099999129772,-0.180699,918,18.8570461,2019,1,0,14.15,826,0.311,28.9
15,222,557255.931599999777973,4889659.717599999159575,-0.5473452,874,18.3682404,2019,1,0,14.15,826,0.311,28.9
16,224,557254.227900000289083,4889660.759299999102950,-0.512942,872,18.4143543,2019,1,0,14.15,826,0.311,28.9
17,228,557250.982800000347197,4889663.084699999541044,-0.4727729,868,18.4420223,2019,1,0,14.15,826,0.311,28.9
18,274,557228.978900000452995,4889699.775299999862909,-0.2524841,822,18.7371502,2019,1,0,14.15,826,0.311,28.9
19,288,557222.886300000362098,4889712.366499999538064,-0.0655601,808,18.995388,2019,1,0,14.15,826,0.311,28.9
20,310,557217.459499999880791,4889733.677799999713898,0.6157002,786,19.8899937,2019,1,0,14.15,826,0.311,28.9
21,320,557216.347000000067055,4889743.613600000739098,0.0978455,776,19.198288,2019,1,0,14.15,826,0.311,28.9
22,322,557216.902300000190735,4889745.491200000047684,0.149484,774,19.2720699,2019,1,0,14.15,826,0.311,28.9
23,334,557221.542500000447035,4889756.553799999877810,-0.2462891,762,18.7463741,2019,1,0,14.15,826,0.311,28.9
24,346,557227.843700000084937,4889766.766300000250340,-0.4917523,750,18.4328003,2019,1,0,14.15,826,0.311,28.9
25,348,557228.902800000272691,4889768.462300000712276,-0.547746,748,18.3682404,2019,1,0,14.15,826,0.311,28.9
26,2,557435.950400000438094,4889730.821299999952316,0.318148,1094,19.4749699,2019,1,0,14.15,826,0.311,28.9
27,4,557434.874499999918044,4889729.135299999266863,-0.0923328,1092,18.9584961,2019,1,0,14.15,826,0.311,28.9
28,6,557433.798700000159442,4889727.449300000444055,-0.425704,1090,18.5250282,2019,1,0,14.15,826,0.311,28.9
29,8,557432.722900000400841,4889725.763299999758601,-0.3359832,1088,18.6357002,2019,1,0,14.15,826,0.311,28.9
30,10,557431.647099999710917,4889724.077299999073148,-0.1415858,1086,18.8847141,2019,1,0,14.15,826,0.311,28.9
31,12,557430.571200000122190,4889722.391300000250340,0.0905327,1084,19.198288,2019,1,0,14.15,826,0.311,28.9
32,14,557429.495400000363588,4889720.705299999564886,0.0860352,1082,19.179842,2019,1,0,14.15,826,0.311,28.9
33,20,557426.267900000326335,4889715.647299999371171,0.1486225,1076,19.262846,2019,1,0,14.15,826,0.311,28.9
34,22,557425.192099999636412,4889713.961300000548363,0.0819588,1074,19.1706181,2019,1,0,14.15,826,0.311,28.9
35,26,557423.049599999561906,4889710.583499999716878,-0.2381267,1070,18.7648201,2019,1,0,14.15,826,0.311,28.9
36,28,557421.991600000299513,4889708.886299999430776,-0.237614,1068,18.7648201,2019,1,0,14.15,826,0.311,28.9
37,30,557420.933600000105798,4889707.188999999314547,-0.4847235,1066,18.4512463,2019,1,0,14.15,826,0.311,28.9
38,36,557417.759600000455976,4889702.097300000488758,-0.7360021,1060,18.1284485,2019,1,0,14.15,826,0.311,28.9
39,46,557411.883500000461936,4889694.096200000494719,-0.4910648,1050,18.4420223,2019,1,0,14.15,826,0.311,28.9
40,58,557403.290199999697506,4889685.797800000756979,-0.6709678,1038,18.2114544,2019,1,0,14.15,826,0.311,28.9
41,60,557402.497000000439584,4889683.961799999698997,-0.7769768,1036,18.0638905,2019,1,0,14.15,826,0.311,28.9
42,82,557388.664200000464916,4889667.792300000786781,-0.718888,1014,18.1468945,2019,1,0,14.15,826,0.311,28.9
43,84,557386.761099999770522,4889667.189500000327826,-0.7707424,1012,18.0823364,2019,1,0,14.15,826,0.311,28.9
44,88,557382.934999999590218,4889666.022900000214577,-0.7758807,1008,18.0638905,2019,1,0,14.15,826,0.311,28.9
45,92,557379.012000000104308,4889665.291799999773502,-0.9824461,1004,17.8056526,2019,1,0,14.15,826,0.311,28.9
46,94,557377.032100000418723,4889665.008899999782443,-1.0244297,1002,17.7503166,2019,1,0,14.15,826,0.311,28.9
47,96,557375.052199999801815,4889664.726099999621511,-0.9673761,1000,17.8333206,2019,1,0,14.15,826,0.311,28.9
48,98,557373.113499999977648,4889664.253599999472499,-1.0894707,998,17.6765347,2019,1,0,14.15,826,0.311,28.9
49,106,557365.437599999830127,4889661.999500000849366,-1.0761496,990,17.6857567,2019,1,0,14.15,826,0.311,28.9
50,108,557363.570600000210106,4889661.313799999654293,-1.1415627,988,17.6119747,2019,1,0,14.15,826,0.311,28.9
51,110,557361.834099999628961,4889660.321499999612570,-0.9602102,986,17.8333206,2019,1,0,14.15,826,0.311,28.9
